heroName,abilityName,abilityCatalogName,created,status,detectorFamily,sourceDecision,originalDecision,wikiMatchedName,wikiTarget,wikiType,wikiProps,wikiSourceUrl,reason
Abathur,Stab,AbathurSymbioteStab,no,candidate_not_created,directional_position_overlap,rule_candidate_existing_detector,needs_triage,Symbiote - Stab,Point target,Spell Damage,Skillshot,https://heroesofthestorm.fandom.com/wiki/Data:Abathur,Wiki marks this as a point-target skillshot or projectile-style ability.
Alarak,AlarakDeadlyChargeExecute2ndHeroic,AlarakDeadlyChargeExecute2ndHeroic,yes,created,directional_position_overlap,implemented,implemented,,,,,,A versioned skillshot landing rule already exists.
Alarak,Counter-Strike,AlarakCounterStrikeTargeted,yes,created,directional_position_overlap,implemented,implemented,,,,,,A versioned skillshot landing rule already exists.
Alarak,Counter-Strike,AlarakCounterStrikeTargeted2ndHeroic,yes,created,directional_position_overlap,implemented,implemented,,,,,,A versioned skillshot landing rule already exists.
Alarak,Discord Strike,AlarakDiscordStrike,yes,created,directional_position_overlap,implemented,implemented,,,,,,A versioned skillshot landing rule already exists.
Alarak,Unleash Deadly Charge,AlarakDeadlyChargeExecute,yes,created,directional_position_overlap,implemented,implemented,,,,,,A versioned skillshot landing rule already exists.
Alexstrasza,Wing Buffet,AlexstraszaWingBuffet,no,candidate_not_created,area_position_overlap,rule_candidate_existing_detector,needs_triage,Wing Buffet,Point target,"Spell Damage, Crowd control","Area of Effect, Clamping, Knockback",https://heroesofthestorm.fandom.com/wiki/Data:Alexstrasza,Wiki marks this as a point-target area ability.
Ana,Biotic Grenade,AnaBioticGrenade,yes,created,area_position_overlap,implemented,implemented,,,,,,A versioned skillshot landing rule already exists.
Ana,High Powered Round,AnaEyeOfHorusAttack,yes,created,directional_position_overlap,implemented,implemented,,,,,,A versioned skillshot landing rule already exists.
Ana,Sleep Dart,AnaSleepDart,yes,created,directional_position_overlap,implemented,implemented,,,,,,A versioned skillshot landing rule already exists.
Ana,Debilitating Dart,AnaDebilitatingDart,no,candidate_not_created,directional_position_overlap,rule_candidate_existing_detector,needs_research,Debilitating Dart,Point target,"Crowd control, Offensive damage modifier","Skillshot, Slow",https://heroesofthestorm.fandom.com/wiki/Data:Ana,Wiki marks this as a point-target skillshot or projectile-style ability.
Ana,High Powered Round,AnaEyeOfHorusAttackDummy,no,candidate_not_created,area_position_overlap,rule_candidate_existing_detector,needs_triage,Eye of Horus - High Powered Round,Point target,Spell Damage / Healing,Area of Effect,https://heroesofthestorm.fandom.com/wiki/Data:Ana,Wiki marks this as a point-target area ability.
Anduin,Chastise,AnduinChastise,yes,created,directional_position_overlap,implemented,implemented,,,,,,A versioned skillshot landing rule already exists.
Anduin,Divine Star,AnduinDivineStar,yes,created,directional_position_overlap,implemented,implemented,,,,,,A versioned skillshot landing rule already exists.
Anub'arak,Impale,AnubarakImpale,yes,created,directional_position_overlap,implemented,implemented,,,,,,A versioned skillshot landing rule already exists.
Anub'arak,Burrow Charge,AnubarakBurrowCharge,no,candidate_not_created,directional_position_overlap,rule_candidate_existing_detector,needs_research,Burrow Charge,Point target,"Spell Damage, Crowd control / Movement: Launch, Status effect","Area of Effect, Clamping, Slow, Stun, Unstoppable",https://heroesofthestorm.fandom.com/wiki/Data:Anub'arak,Wiki marks this as a point-target skillshot or projectile-style ability.
Anub'arak,Burrow Charge Cancel,AnubarakBurrowChargeCancel,no,candidate_not_created,directional_position_overlap,rule_candidate_existing_detector,no_rule_likely,Burrow Charge,Point target,"Spell Damage, Crowd control / Movement: Launch, Status effect","Area of Effect, Clamping, Slow, Stun, Unstoppable",https://heroesofthestorm.fandom.com/wiki/Data:Anub'arak,Wiki marks this as a point-target skillshot or projectile-style ability.
Artanis,Phase Prism,ArtanisPhasePrism,yes,created,directional_position_overlap,implemented,implemented,,,,,,A versioned skillshot landing rule already exists.
Artanis,Suppression Pulse,ArtanisSpearofAdunSuppressionPulse,yes,created,area_position_overlap,implemented,implemented,,,,,,A versioned skillshot landing rule already exists.
Arthas,Howling Blast,ArthasHowlingBlast,no,candidate_not_created,directional_position_overlap,rule_candidate_existing_detector,needs_research,Howling Blast,Point Target,"Spell Damage, Crowd control","Area of Effect, Root, Clamping, Self-castable",https://heroesofthestorm.fandom.com/wiki/Data:Arthas,Wiki marks this as a point-target skillshot or projectile-style ability.
Auriel,Detainment Strike,AurielDetainmentStrike,no,candidate_not_created,directional_position_overlap,rule_candidate_existing_detector,needs_research,Detainment Strike,Point target,Spell Damage,"Area of Effect, Clamping, Knockback, Skillshot, Stun",https://heroesofthestorm.fandom.com/wiki/Data:Auriel,Wiki marks this as a point-target skillshot or projectile-style ability.
Azmodan,Globe of Annihilation,AzmodanGlobeOfAnnihilation,yes,created,area_position_overlap,implemented,implemented,,,,,,A versioned skillshot landing rule already exists.
Azmodan,Trample,AzmodanTrample,no,candidate_not_created,directional_position_overlap,rule_candidate_existing_detector,needs_triage,Trample,Point target,"Spell Damage, Crowd control / Movement: Dash","Clamping, Skillshot, Slow",https://heroesofthestorm.fandom.com/wiki/Data:Azmodan,Wiki marks this as a point-target skillshot or projectile-style ability.
Blaze,Flame Stream,FirebatFlameStream,yes,created,directional_position_overlap,implemented,implemented,,,,,,A versioned skillshot landing rule already exists.
Blaze,Jet Propulsion,FirebatJetPropulsion,yes,created,directional_position_overlap,implemented,implemented,,,,,,A versioned skillshot landing rule already exists.
Blaze,Flamethrower,FirebatBunkerDropFlamethrower,no,candidate_not_created,directional_position_overlap,rule_candidate_existing_detector,needs_triage,Bunker - Flamethrower,Point target,Spell Damage,"Clamping, Area of Effect, Skillshot",https://heroesofthestorm.fandom.com/wiki/Data:Blaze,Wiki marks this as a point-target skillshot or projectile-style ability.
Brightwing,Arcane Flare,FaerieDragonArcaneFlare,no,candidate_not_created,directional_position_overlap,rule_candidate_existing_detector,needs_research,Arcane Flare,Point target,Spell Damage,Area of Effect,https://heroesofthestorm.fandom.com/wiki/Data:Brightwing,Wiki marks this as a point-target skillshot or projectile-style ability.
Cassia,Blinding Light,AmazonBlindingLight,yes,created,area_position_overlap,implemented,implemented,,,,,,A versioned skillshot landing rule already exists.
Cassia,Lightning Fury,AmazonLightningFury,yes,created,directional_position_overlap,implemented,implemented,,,,,,A versioned skillshot landing rule already exists.
Chen,Breath of Fire,ChenBreathOfFire,yes,created,directional_position_overlap,implemented,implemented,,,,,,A versioned skillshot landing rule already exists.
Chen,Keg Smash,ChenKegSmash,yes,created,area_position_overlap,implemented,implemented,,,,,,A versioned skillshot landing rule already exists.
Cho,Hammer of Twilight,ChoHammerOfTwilight,no,candidate_not_created,area_position_overlap,rule_candidate_existing_detector,needs_triage,Hammer of Twilight,Point target,"Spell Damage, Crowd control / Offensive damage modifier","Area of Effect, Knockback, Stun",https://heroesofthestorm.fandom.com/wiki/Data:Cho,Wiki marks this as a point-target area ability.
Cho,Rune Bomb,ChoRuneBomb,no,candidate_not_created,directional_position_overlap,rule_candidate_existing_detector,needs_research,Rune Bomb,Point target,Spell Damage,"Clamping, Piercing Skillshot",https://heroesofthestorm.fandom.com/wiki/Data:Cho,Wiki marks this as a point-target skillshot or projectile-style ability.
Cho,Upheaval,ChoUpheaval,no,candidate_not_created,area_position_overlap,rule_candidate_existing_detector,needs_triage,Upheaval,Point target,"Spell Damage, Crowd control","Area of Effect, Clamping, [[knockback",https://heroesofthestorm.fandom.com/wiki/Data:Cho,Wiki marks this as a point-target area ability.
Chromie,Dragon’s Breath,ChromieDragonsBreath,yes,created,area_position_overlap,implemented,implemented,,,,,,A versioned skillshot landing rule already exists.
Chromie,Sand Blast,ChromieSandBlast,yes,created,directional_position_overlap,implemented,implemented,,,,,,A versioned skillshot landing rule already exists.
D.Va,Concussive Pulse,DVaPilotConcussivePulse,no,candidate_not_created,area_position_overlap,rule_candidate_existing_detector,needs_triage,Concussive Pulse,Point target,"Spell damage, Crowd control","Area of Effect, Clamping, Knockback",https://heroesofthestorm.fandom.com/wiki/Data:D.Va,Wiki marks this as a point-target area ability.
Deathwing,Skyfall,DeathwingSkyfall,no,candidate_not_created,area_position_overlap,rule_candidate_existing_detector,needs_triage,Skyfall,Point target,Spell Damage / Healing,Area of Effect,https://heroesofthestorm.fandom.com/wiki/Data:Deathwing,Wiki marks this as a point-target area ability.
Deckard,Horadric Cube,DeckardHoradricCube,yes,created,area_position_overlap,implemented,implemented,,,,,,A versioned skillshot landing rule already exists.
Deckard,Scroll Of Sealing,DeckardScrollOfSealing,yes,created,directional_position_overlap,implemented,implemented,,,,,,A versioned skillshot landing rule already exists.
Dehaka,Drag,DehakaDrag,yes,created,directional_position_overlap,implemented,implemented,,,,,,A versioned skillshot landing rule already exists.
Dehaka,Isolation,DehakaIsolation,yes,created,directional_position_overlap,implemented,implemented,,,,,,A versioned skillshot landing rule already exists.
Diablo,Fire Stomp,DiabloFireStomp,no,candidate_not_created,directional_position_overlap,rule_candidate_existing_detector,needs_triage,Fire Stomp,Point target,Spell Damage / Healing,"Area of Effect, Clamping, Lifesteal",https://heroesofthestorm.fandom.com/wiki/Data:Diablo,Wiki marks this as a point-target skillshot or projectile-style ability.
Diablo,Hellgate,DiabloHellgate,no,candidate_not_created,area_position_overlap,rule_candidate_existing_detector,needs_triage,Hellgate,Point target,"Spell Damage, Crowd control / Movement: Teleport","Area of Effect, Clamping, Stun",https://heroesofthestorm.fandom.com/wiki/Data:Diablo,Wiki marks this as a point-target area ability.
E.T.C.,Powerslide,L90ETCPowerslide,yes,created,directional_position_overlap,implemented,implemented,,,,,,A versioned skillshot landing rule already exists.
Falstad,Hammerang,FalstadHammerang,yes,created,directional_position_overlap,implemented,implemented,,,,,,A versioned skillshot landing rule already exists.
Falstad,Hinterland Blast,FalstadHinterlandBlast,yes,created,directional_position_overlap,implemented,implemented,,,,,,A versioned skillshot landing rule already exists.
Falstad,Mighty Gust,FalstadMightyGust,yes,created,directional_position_overlap,implemented,implemented,,,,,,A versioned skillshot landing rule already exists.
Gall,Dread Orb,GallDreadOrb,no,candidate_not_created,area_position_overlap,rule_candidate_existing_detector,needs_research,Dread Orb,Point target,Spell Damage,"Area of Effect, Clamping",https://heroesofthestorm.fandom.com/wiki/Data:Gall,Wiki marks this as a point-target area ability.
Gall,Shadow Bolt Volley,GallShadowBoltVolleyMoltenBlockDummy,no,candidate_not_created,directional_position_overlap,rule_candidate_existing_detector,needs_research,Shadow Bolt Volley,"Point target, Cursor tracking",Spell Damage,"Clamping, Skillshot",https://heroesofthestorm.fandom.com/wiki/Data:Gall,Wiki marks this as a point-target skillshot or projectile-style ability.
Gall,Shadow Bolt Volley,GallShadowboltVolley,no,candidate_not_created,directional_position_overlap,rule_candidate_existing_detector,needs_research,Shadow Bolt Volley,"Point target, Cursor tracking",Spell Damage,"Clamping, Skillshot",https://heroesofthestorm.fandom.com/wiki/Data:Gall,Wiki marks this as a point-target skillshot or projectile-style ability.
Gall,Shadowflame,GallShadowflame,no,candidate_not_created,area_position_overlap,rule_candidate_existing_detector,needs_triage,Shadowflame,Point target,Spell Damage,"Area of Effect, Clamping",https://heroesofthestorm.fandom.com/wiki/Data:Gall,Wiki marks this as a point-target area ability.
Garrosh,Groundbreaker,GarroshGroundbreaker,yes,created,directional_position_overlap,implemented,implemented,,,,,,A versioned skillshot landing rule already exists.
Gazlowe,Deth Lazor,GazloweDethLazor,yes,created,directional_position_overlap,implemented,implemented,,,,,,A versioned skillshot landing rule already exists.
Gazlowe,Grav-O-Bomb 3000,TinkerGravOBomb3000,yes,created,area_position_overlap,implemented,implemented,,,,,,A versioned skillshot landing rule already exists.
Gazlowe,Xplodium Charge,TinkerXplodiumBomb,yes,created,area_position_overlap,implemented,implemented,,,,,,A versioned skillshot landing rule already exists.
Genji,Swift Strike,GenjiSwiftStrike,yes,created,directional_position_overlap,implemented,implemented,,,,,,A versioned skillshot landing rule already exists.
Genji,Dragonblade,GenjiDragonblade,no,candidate_not_created,directional_position_overlap,rule_candidate_existing_detector,needs_triage,Dragonblade,"No target (initial), Point target (reactivate)",Spell Damage / Movement: Dash,"Area of Effect, Clamping",https://heroesofthestorm.fandom.com/wiki/Data:Genji,Wiki marks this as a point-target skillshot or projectile-style ability.
Genji,Dragonblade,GenjiDragonbladeAttack,no,candidate_not_created,directional_position_overlap,rule_candidate_existing_detector,needs_triage,Dragonblade,"No target (initial), Point target (reactivate)",Spell Damage / Movement: Dash,"Area of Effect, Clamping",https://heroesofthestorm.fandom.com/wiki/Data:Genji,Wiki marks this as a point-target skillshot or projectile-style ability.
Genji,Shuriken,GenjiShuriken,no,candidate_not_created,directional_position_overlap,rule_candidate_existing_detector,needs_triage,Shuriken,Point target,Spell Damage,"Clamping, Skillshot",https://heroesofthestorm.fandom.com/wiki/Data:Genji,Wiki marks this as a point-target skillshot or projectile-style ability.
Genji,X-Strike,GenjiXStrike,no,candidate_not_created,area_position_overlap,rule_candidate_existing_detector,needs_research,X-Strike,Point target,"Spell Damage / Movement: Teleport, Status effect","Area of Effect, Pseudo-Stasis",https://heroesofthestorm.fandom.com/wiki/Data:Genji,Wiki marks this as a point-target area ability.
Greymane,Gilnean Cocktail,GreymaneGilneanCocktail,yes,created,directional_position_overlap,implemented,implemented,,,,,,A versioned skillshot landing rule already exists.
Greymane,Razor Swipe,GreymaneRazorSwipe,yes,created,directional_position_overlap,implemented,implemented,,,,,,A versioned skillshot landing rule already exists.
Greymane,Cursed Bullet,GreymaneCursedBullet,no,candidate_not_created,directional_position_overlap,rule_candidate_existing_detector,needs_triage,Cursed Bullet,Point target,Spell Damage,"Percent Damage, Skillshot",https://heroesofthestorm.fandom.com/wiki/Data:Greymane,Wiki marks this as a point-target skillshot or projectile-style ability.
Gul'dan,Fel Flame,GuldanFelFlame,yes,created,directional_position_overlap,implemented,implemented,,,,,,A versioned skillshot landing rule already exists.
Gul'dan,Horrify,GuldanHorrify,no,candidate_not_created,area_position_overlap,rule_candidate_existing_detector,needs_triage,Horrify,Point target,"Spell Damage, Crowd control","Area of Effect, Fear",https://heroesofthestorm.fandom.com/wiki/Data:Gul'dan,Wiki marks this as a point-target area ability.
Hanzo,Dragon's Arrow,HanzoDragonsArrow,no,candidate_not_created,directional_position_overlap,rule_candidate_existing_detector,needs_research,Dragon's Arrow,Point target,"Spell Damage, Crowd control","Skillshot, Splash, Stun",https://heroesofthestorm.fandom.com/wiki/Data:Hanzo,Wiki marks this as a point-target skillshot or projectile-style ability.
Hanzo,Sonic Arrow,HanzoSonicArrow,no,candidate_not_created,area_position_overlap,rule_candidate_existing_detector,needs_research,Sonic Arrow,Point target,Spell Damage,"Area of Effect, Revealed",https://heroesofthestorm.fandom.com/wiki/Data:Hanzo,Wiki marks this as a point-target area ability.
Hogger,Ez-Thro Dynamite,HoggerEzThroDynamite,no,candidate_not_created,area_position_overlap,rule_candidate_existing_detector,needs_triage,Ez-Thro Dynamite,Point target,"Spell Damage, Crowd control","Area of Effect, Self-castable, Slow",https://heroesofthestorm.fandom.com/wiki/Data:Hogger,Wiki marks this as a point-target area ability.
Illidan,Sweeping Strike,IllidanSweepingStrike,no,candidate_not_created,directional_position_overlap,rule_candidate_existing_detector,needs_research,Sweeping Strike,Point target,"Spell Damage / Offensive damage modifier, Movement: Dash",Area of Effect,https://heroesofthestorm.fandom.com/wiki/Data:Illidan,Wiki marks this as a point-target skillshot or projectile-style ability.
Imperius,Celestial Charge,ImperiusCelestialCharge,yes,created,directional_position_overlap,implemented,implemented,,,,,,A versioned skillshot landing rule already exists.
Imperius,Solarion's Fire,ImperiusSolarionsFire,yes,created,directional_position_overlap,implemented,implemented,,,,,,A versioned skillshot landing rule already exists.
Jaina,Blizzard,JainaBlizzard,yes,created,area_position_overlap,implemented,implemented,,,,,,A versioned skillshot landing rule already exists.
Jaina,Cone of Cold,JainaConeOfCold,yes,created,directional_position_overlap,implemented,implemented,,,,,,A versioned skillshot landing rule already exists.
Jaina,Frostbolt,JainaFrostbolt,yes,created,directional_position_overlap,implemented,implemented,,,,,,A versioned skillshot landing rule already exists.
Jaina,Blizzard,JainaWaterElementalBlizzard,no,candidate_not_created,area_position_overlap,rule_candidate_existing_detector,needs_triage,Blizzard,Point target,"Spell Damage, Debuff",Area of Effect,https://heroesofthestorm.fandom.com/wiki/Data:Jaina,Wiki marks this as a point-target area ability.
Jaina,Cone of Cold,JainaWaterElementalConeOfCold,no,candidate_not_created,area_position_overlap,rule_candidate_existing_detector,needs_research,Cone of Cold,Point target,"Spell Damage, Debuff",Area of Effect,https://heroesofthestorm.fandom.com/wiki/Data:Jaina,Wiki marks this as a point-target area ability.
Jaina,Frostbolt,JainaWaterElementalFrostbolt,no,candidate_not_created,directional_position_overlap,rule_candidate_existing_detector,needs_research,Frostbolt,Point target,"Spell Damage, Debuff","Clamping, Skillshot",https://heroesofthestorm.fandom.com/wiki/Data:Jaina,Wiki marks this as a point-target skillshot or projectile-style ability.
Jaina,Ring of Frost,JainaRingOfFrost,no,candidate_not_created,area_position_overlap,rule_candidate_existing_detector,needs_triage,Ring of Frost,Point target,"Spell Damage, Crowd control, Debuff","Area of Effect, Root",https://heroesofthestorm.fandom.com/wiki/Data:Jaina,Wiki marks this as a point-target area ability.
Johanna,Blessed Shield,CrusaderBlessedShield,no,candidate_not_created,directional_position_overlap,rule_candidate_existing_detector,no_rule_likely,Blessed Shield,Point target,"Spell Damage, Crowd control","Bounce, Clamping, Skillshot",https://heroesofthestorm.fandom.com/wiki/Data:Johanna,Wiki marks this as a point-target skillshot or projectile-style ability.
Johanna,Falling Sword,CrusaderFallingSword,no,candidate_not_created,area_position_overlap,rule_candidate_existing_detector,needs_triage,Falling Sword,Point target,"Spell Damage, Crowd control / Movement: Teleport, Status effect / Status effect","Area of Effect, Stasis, Stun, Unstoppable",https://heroesofthestorm.fandom.com/wiki/Data:Johanna,Wiki marks this as a point-target area ability.
Johanna,Punish,CrusaderPunish,no,candidate_not_created,area_position_overlap,rule_candidate_existing_detector,needs_triage,Punish,Point target,"Spell Damage, Crowd control","Area of Effect, Clamping, Slow",https://heroesofthestorm.fandom.com/wiki/Data:Johanna,Wiki marks this as a point-target area ability.
Johanna,Shield Glare,CrusaderShieldGlare,no,candidate_not_created,directional_position_overlap,rule_candidate_existing_detector,no_rule_likely,Shield Glare,Point target,"Spell Damage, Crowd control","Area of Effect, Blind, Clamping",https://heroesofthestorm.fandom.com/wiki/Data:Johanna,Wiki marks this as a point-target skillshot or projectile-style ability.
Junkrat,Frag Launcher,JunkratFragLauncher,no,candidate_not_created,directional_position_overlap,rule_candidate_existing_detector,needs_triage,Frag Launcher,Point target,Spell Damage,"Area of Effect, Clamping, Skillshot",https://heroesofthestorm.fandom.com/wiki/Data:Junkrat,Wiki marks this as a point-target skillshot or projectile-style ability.
Kael'thas,Flamestrike,KaelthasFlamestrike,yes,created,area_position_overlap,implemented,implemented,,,,,,A versioned skillshot landing rule already exists.
Kael'thas,Gravity Lapse,KaelthasGravityLapse,yes,created,directional_position_overlap,implemented,implemented,,,,,,A versioned skillshot landing rule already exists.
Kel'Thuzad,Chains of Kel'Thuzad,KelThuzadChains,yes,created,same_user_followup,implemented,implemented,,,,,,A versioned skillshot landing rule already exists.
Kel'Thuzad,Frost Nova,KelThuzadFrostNova,yes,created,area_position_overlap,implemented,implemented,,,,,,A versioned skillshot landing rule already exists.
Kel'Thuzad,Chains of Kel'Thuzad,KelThuzadChainsLink,no,candidate_not_created,directional_position_overlap,rule_candidate_existing_detector,needs_research,Chains of Kel'Thuzad,Point target,"Spell Damage, Crowd control","Skillshot, [[Knockback",https://heroesofthestorm.fandom.com/wiki/Data:Kel'Thuzad,Wiki marks this as a point-target skillshot or projectile-style ability.
Kel'Thuzad,Glacial Spike,KelThuzadGlacialSpike,no,candidate_not_created,area_position_overlap,rule_candidate_existing_detector,needs_triage,Glacial Spike,Point target,Spell Damage / Pathing blocker,Area of Effect,https://heroesofthestorm.fandom.com/wiki/Data:Kel'Thuzad,Wiki marks this as a point-target area ability.
Kel'Thuzad,Shadow Fissure,KelThuzadShadowFissure,no,candidate_not_created,area_position_overlap,rule_candidate_existing_detector,needs_research,Shadow Fissure,Point target,Spell Damage,Area of Effect,https://heroesofthestorm.fandom.com/wiki/Data:Kel'Thuzad,Wiki marks this as a point-target area ability.
Kel'Thuzad,Shifting Malice,KelThuzadShiftingMalice,no,candidate_not_created,directional_position_overlap,rule_candidate_existing_detector,needs_triage,Shifting Malice,Point target,Spell Damage / Movement: Dash,Area of Effect,https://heroesofthestorm.fandom.com/wiki/Data:Kel'Thuzad,Wiki marks this as a point-target skillshot or projectile-style ability.
Kerrigan,Impaling Blades,KerriganImpalingBlades,no,candidate_not_created,area_position_overlap,rule_candidate_existing_detector,needs_triage,Impaling Blades,Point target,Spell Damage / Crowd control,"Area of Effect, Stun",https://heroesofthestorm.fandom.com/wiki/Data:Kerrigan,Wiki marks this as a point-target area ability.
Kerrigan,Primal Grasp,KerriganPrimalGrasp,no,candidate_not_created,area_position_overlap,rule_candidate_existing_detector,needs_triage,Primal Grasp,Point target,Spell Damage / Crowd control,"Area of Effect, Clamping",https://heroesofthestorm.fandom.com/wiki/Data:Kerrigan,Wiki marks this as a point-target area ability.
Kerrigan,Psionic Shift,KerriganPsionicShift,no,candidate_not_created,area_position_overlap,rule_candidate_existing_detector,needs_triage,Psionic Shift,Point target,"Spell Damage / Shields, Movement: Teleport","Area of Effect, Clamping",https://heroesofthestorm.fandom.com/wiki/Data:Kerrigan,Wiki marks this as a point-target area ability.
Leoric,Skeletal Swing,LeoricSkeletalSwingTargetedReady,yes,created,directional_position_overlap,implemented,implemented,,,,,,A versioned skillshot landing rule already exists.
Leoric,Drain Hope,LeoricDrainHope,no,candidate_not_created,directional_position_overlap,rule_candidate_existing_detector,needs_triage,Drain Hope,Point target,Percent damage / Healing,"Percent damage, Skillshot",https://heroesofthestorm.fandom.com/wiki/Data:Leoric,Wiki marks this as a point-target skillshot or projectile-style ability.
Leoric,Ghastly Swing,LeoricGhastlySwing,no,candidate_not_created,area_position_overlap,rule_candidate_existing_detector,needs_triage,Ghastly Swing,Point target,Crowd control,"Area of Effect, Clamping, Slow",https://heroesofthestorm.fandom.com/wiki/Data:Leoric,Wiki marks this as a point-target area ability.
